man: мужчина
woman: женщина
child: ребенок
father: отец
mother: мать
brother: брат
sister: сестра
son: сын
daughter: дочь
family: семья
head: голова
eye: глаз
nose: нос
mouth: рот
hand: рука
leg: нога
heart: сердце
blood: кровь
doctor: врач
medicine: лекарство
house: дом
room: комната
kitchen: кухня
bathroom: ванная
window: окно
door: дверь
bed: кровать
chair: стул
table: стол
lamp: лампа
shirt: рубашка
pants: брюки
dress: платье
shoes: обувь
hat: шляпа
coat: пальто
socks: носки
gloves: перчатки
scarf: шарф
belt: ремень
bread: хлеб
cheese: сыр
meat: мясо
fish: рыба
apple: яблоко
plate: тарелка
fork: вилка
spoon: ложка
knife: нож
cup: чашка
sun: солнце
moon: луна
star: звезда
rain: дождь
snow: снег
wind: ветер
river: река
mountain: гора
forest: лес
ocean: океан
cat: кот
dog: собака
cow: корова
horse: лошадь
sheep: овца
pig: свинья
rabbit: кролик
fox: лиса
bear: медведь
wolf: волк
tree: дерево
flower: цветок
grass: трава
leaf: лист
bush: куст
fruit: фрукт
vegetable: овощ
wheat: пшеница
oak: дуб
pine: сосна
city: город
street: улица
building: здание
shop: магазин
school: школа
hospital: больница
theater: театр
park: парк
station: станция
bridge: мост
car: машина
bus: автобус
train: поезд
airplane: самолет
ship: корабль
bicycle: велосипед
motorcycle: мотоцикл
taxi: такси
subway: метро
traffic light: светофор
